
libgcj -vs- Classpath
- GNU Project - Free Software Foundation (FSF)
libgcj -vs- Classpath
This page compares the "current" cvs libgcj against the "current"
cvs Classpath. It was generated using the gen-classpath-compare
script on
2002-06-18.
This table intentionally omits certain classes which are not of
interest. If the third column shows a "Diff" link, then that means
the script believes that the class has been merged, but a difference
has been reintroduced. Note that such differences cannot be
automatically merged. Any merging must be done manually; some
differences are currently required.
 java.awt.dnd.DragSourceDragEvent No Yes No 
 java.awt.dnd.DragSourceEvent No Yes No 
 java.awt.dnd.DragSource No Yes No 
 java.awt.dnd.DragSourceListener Yes Yes No 
 java.awt.dnd.DragSourceMotionListener No Yes No 
 java.awt.dnd.DropTarget No Yes No 
 java.awt.dnd.DropTargetListener Yes No No 
 java.awt.dnd.InvalidDnDOperationException No Yes No 
 java.awt.dnd.peer.DragSourceContextPeer No Yes No 
 java.awt.event.ActionEvent Yes Yes No 
 java.awt.event.ActionListener Yes Yes No 
 java.awt.event.AdjustmentEvent Yes Yes No 
 java.awt.event.AdjustmentListener Yes Yes No 
 java.awt.event.AWTEventListener Yes Yes No 
 java.awt.event.AWTEventListenerProxy No Yes No 
 java.awt.event.ComponentAdapter Yes Yes No 
 java.awt.event.ComponentEvent Yes Yes No 
 java.awt.event.ComponentListener Yes Yes No 
 java.awt.event.ContainerAdapter Yes Yes No 
 java.awt.event.ContainerEvent Yes Yes No 
 java.awt.event.ContainerListener Yes Yes No 
 java.awt.event.FocusAdapter Yes Yes No 
 java.awt.event.FocusEvent Yes Yes No 
 java.awt.event.FocusListener Yes Yes No 
 java.awt.event.HierarchyBoundsAdapter Yes Yes Diff 
 java.awt.event.HierarchyBoundsListener Yes Yes Diff 
 java.awt.event.HierarchyEvent Yes Yes Diff 
 java.awt.event.HierarchyListener Yes Yes Diff 
 java.awt.event.InputEvent Yes Yes No 
 java.awt.event.InputMethodEvent Yes Yes No 
 java.awt.event.InputMethodListener Yes Yes No 
 java.awt.event.InvocationEvent Yes Yes No 
 java.awt.event.ItemEvent Yes Yes No 
 java.awt.event.ItemListener Yes Yes No 
 java.awt.event.KeyAdapter Yes Yes No 
 java.awt.event.KeyEvent Yes Yes No 
 java.awt.event.KeyListener Yes Yes No 
 java.awt.event.MouseAdapter Yes Yes No 
 java.awt.event.MouseEvent Yes Yes No 
 java.awt.event.MouseListener Yes Yes No 
 java.awt.event.MouseMotionAdapter Yes Yes No 
 java.awt.event.MouseMotionListener Yes Yes No 
 java.awt.event.MouseWheelEvent No Yes No 
 java.awt.event.MouseWheelListener No Yes No 
 java.awt.event.PaintEvent Yes Yes No 
 java.awt.EventQueue Yes Yes Diff 
 java.awt.event.TextEvent Yes Yes No 
 java.awt.event.TextListener Yes Yes No 
 java.awt.event.WindowAdapter Yes Yes No 
 java.awt.event.WindowEvent Yes Yes No 
 java.awt.event.WindowFocusListener No Yes No 
 java.awt.event.WindowListener Yes Yes No 
 java.awt.event.WindowStateListener No Yes No 
 java.awt.FocusTraversalPolicy No Yes No 
 java.awt.FontFormatException No Yes No 
 java.awt.Font Yes Yes Diff 
 java.awt.font.TextHitInfo No Yes No 
 java.awt.geom.AffineTransform Yes Yes Diff 
 java.awt.geom.Arc2D No Yes No 
 java.awt.geom.Area No Yes No 
 java.awt.geom.CubicCurve2D No Yes No 
 java.awt.geom.Dimension2D Yes Yes Diff 
 java.awt.geom.Ellipse2D Yes Yes Diff 
 java.awt.geom.FlatteningPathIterator No Yes No 
 java.awt.geom.GeneralPath No Yes No 
 java.awt.geom.IllegalPathStateException Yes Yes Diff 
 java.awt.geom.Line2D Yes Yes Diff 
 java.awt.geom.NoninvertibleTransformException Yes Yes Diff 
 java.awt.geom.PathIterator Yes Yes Diff 
 java.awt.geom.Point2D Yes Yes Diff 
 java.awt.geom.QuadCurve2D No Yes No 
 java.awt.geom.Rectangle2D Yes Yes Diff 
 java.awt.geom.RectangularShape Yes Yes Diff 
 java.awt.geom.RoundRectangle2D Yes Yes Diff 
 java.awt.GradientPaint No Yes No 
 java.awt.GraphicsConfigTemplate No Yes No 
 java.awt.GraphicsConfiguration Yes Yes Diff 
 java.awt.GraphicsDevice No Yes No 
 java.awt.GraphicsEnvironment No Yes No 
 java.awt.HeadlessException No Yes No 
 java.awt.IllegalComponentStateException Yes Yes Diff 
 java.awt.image.BufferedImageOp No Yes No 
 java.awt.image.BufferStrategy No Yes No 
 java.awt.ImageCapabilities No Yes No 
 java.awt.image.ImagingOpException No Yes No 
 java.awt.image.IndexColorModel Yes Yes No 
 java.awt.Image Yes Yes Diff 
 java.awt.image.MemoryImageSource Yes Yes Diff 
 java.awt.image.PixelGrabber Yes Yes Diff 
 java.awt.image.RasterFormatException No Yes No 
 java.awt.image.renderable.ContextualRenderedImageFactory No Yes No 
 java.awt.image.renderable.ParameterBlock No Yes No 
 java.awt.image.renderable.RenderableImage No Yes No 
 java.awt.image.renderable.RenderableImageOp No Yes No 
 java.awt.image.renderable.RenderableImageProducer No Yes No 
 java.awt.image.renderable.RenderContext No Yes No 
 java.awt.image.renderable.RenderedImageFactory No Yes No 
 java.awt.image.RenderedImage No Yes No 
 java.awt.image.TileObserver No Yes No 
 java.awt.image.VolatileImage No Yes No 
 java.awt.image.WritableRenderedImage No Yes No 
 java.awt.im.InputContext No Yes No 
 java.awt.im.InputMethodHighlight No Yes No 
 java.awt.im.InputMethodRequests No Yes No 
 java.awt.im.InputSubset No Yes No 
 java.awt.im.spi.InputMethodContext No Yes No 
 java.awt.im.spi.InputMethodDescriptor No Yes No 
 java.awt.im.spi.InputMethod No Yes No 
 java.awt.Insets Yes Yes Diff 
 java.awt.ItemSelectable Yes Yes Diff 
 java.awt.JobAttributes No Yes No 
 java.awt.KeyboardFocusManager No Yes No 
 java.awt.KeyEventDispatcher No Yes No 
 java.awt.KeyEventPostProcessor No Yes No 
 java.awt.LayoutManager2 Yes Yes Diff 
 java.awt.LayoutManager Yes Yes Diff 
 java.awt.MenuContainer Yes Yes Diff 
 java.awt.MenuItem Yes Yes Diff 
 java.awt.PageAttributes No Yes No 
 java.awt.PaintContext Yes Yes Diff 
 java.awt.Paint Yes Yes Diff 
 java.awt.Panel Yes Yes Diff 
 java.awt.Point Yes Yes Diff 
 java.awt.Polygon Yes Yes No 
 java.awt.print.Book No Yes No 
 java.awt.PrintGraphics Yes Yes Diff 
 java.awt.PrintJob Yes Yes Diff 
 java.awt.print.Pageable No Yes No 
 java.awt.print.PageFormat No Yes No 
 java.awt.print.Paper No Yes No 
 java.awt.print.Printable No Yes No 
 java.awt.print.PrinterAbortException No Yes No 
 java.awt.print.PrinterException No Yes No 
 java.awt.print.PrinterGraphics No Yes No 
 java.awt.print.PrinterIOException No Yes No 
 java.awt.print.PrinterJob No Yes No 
 java.awt.Rectangle Yes Yes Diff 
 java.awt.RenderingHints Yes Yes Diff 
 java.awt.Robot No Yes No 
 java.awt.ScrollPaneAdjustable No Yes No 
 java.awt.ScrollPane Yes Yes No 
 java.awt.Shape Yes Yes Diff 
 java.awt.Stroke No Yes No 
 java.awt.SystemColor Yes Yes Diff 
 java.awt.TexturePaint No Yes No 
 java.awt.Toolkit Yes Yes Diff 
 java.awt.Transparency Yes Yes Diff 
 java.awt.Window Yes Yes Diff 
 java.beans.ExceptionListener No Yes No 
 java.beans.PropertyChangeEvent Yes Yes Diff 
 java.beans.PropertyChangeListener Yes Yes Diff 
 java.beans.PropertyChangeListenerProxy No Yes No 
 java.beans.PropertyChangeSupport Yes Yes Diff 
 java.beans.VetoableChangeListener Yes Yes Diff 
 java.beans.VetoableChangeListenerProxy No Yes No 
 java.beans.VetoableChangeSupport Yes Yes Diff 
 java.io.DataOutputStream Yes Yes No 
 java.io.FileDescriptor Yes Yes No 
 java.io.FileInputStream Yes Yes No 
 java.io.File Yes Yes No 
 java.io.FileOutputStream Yes Yes No 
 java.io.InputStreamReader Yes Yes No 
 java.io.LineNumberReader Yes Yes No 
 java.io.ObjectInputStream Yes Yes Diff 
 java.io.ObjectOutputStream Yes Yes Diff 
 java.io.ObjectStreamClass Yes Yes Diff 
 java.io.ObjectStreamField Yes Yes Diff 
 java.io.OutputStreamWriter Yes Yes No 
 java.io.PrintStream Yes Yes No 
 java.io.RandomAccessFile Yes Yes No 
 java.lang.Character Yes Yes Diff 
 java.lang.Class Yes No No 
 java.lang.ClassLoader Yes Yes No 
 java.lang.EcosProcess Yes No No 
 java.lang.Object Yes Yes No 
 java.lang.Package Yes Yes Diff 
 java.lang.PosixProcess Yes No No 
 java.lang.reflect.Array Yes Yes No 
 java.lang.reflect.Constructor Yes No No 
 java.lang.reflect.Field Yes No No 
 java.lang.reflect.InvocationHandler No Yes No 
 java.lang.reflect.Method Yes No No 
 java.lang.reflect.Proxy No Yes No 
 java.lang.reflect.UndeclaredThrowableException No Yes No 
 java.lang.ref.Reference Yes Yes Diff 
 java.lang.Runtime Yes No Yes 
 java.lang.SecurityManager Yes Yes Diff 
 java.lang.StringBuffer Yes Yes Diff 
 java.lang.String Yes Yes No 
 java.lang.System Yes Yes Diff 
 java.lang.Thread Yes No No 
 java.lang.Throwable Yes No Yes 
 java.lang.VMClassLoader Yes No No 
 java.lang.VMSecurityManager Yes No No 
 java.lang.Win32Process Yes No No 
 java.net.DatagramSocket Yes Yes No 
 java.net.HttpURLConnection Yes Yes No 
 java.net.InetAddress Yes Yes No 
 java.net.InetSocketAddress No Yes No 
 java.net.JarURLConnection Yes Yes No 
 java.net.MimeTypeMapper No Yes No 
 java.net.PlainDatagramSocketImpl Yes Yes No 
 java.net.PlainSocketImpl Yes Yes No 
 java.net.PortUnreachableException No Yes No 
 java.net.SocketAddress No Yes No 
 java.net.SocketInputStream No Yes No 
 java.net.Socket Yes Yes Diff 
 java.net.SocketOutputStream No Yes No 
 java.net.SocketTimeoutException No Yes No 
 java.net.URISyntaxException No Yes No 
 java.net.URLClassLoader Yes Yes No 
 java.net.URLConnection Yes Yes No 
 java.net.URL Yes Yes No 
 java.net.URLStreamHandler Yes Yes No 
 java.nio.Buffer No Yes No 
 java.nio.ByteBuffer No Yes No 
 java.nio.ByteOrder No Yes No 
 java.nio.channels.AlreadyConnectedException No Yes No 
 java.nio.channels.ByteChannel No Yes No 
 java.nio.channels.Channel No Yes No 
 java.nio.channels.Channels No Yes No 
 java.nio.channels.ClosedChannelException No Yes No 
 java.nio.channels.DatagramChannel No Yes No 
 java.nio.channels.FileChannel No Yes No 
 java.nio.channels.FileLock No Yes No 
 java.nio.channels.GatheringByteChannel No Yes No 
 java.nio.channels.InterruptibleChannel No Yes No 
 java.nio.channels.Pipe No Yes No 
 java.nio.channels.ReadableByteChannel No Yes No 
 java.nio.channels.ScatteringByteChannel No Yes No 
 java.nio.channels.SelectableChannel No Yes No 
 java.nio.channels.SelectionKey No Yes No 
 java.nio.channels.Selector No Yes No 
 java.nio.channels.ServerSocketChannel No Yes No 
 java.nio.channels.SocketChannel No Yes No 
 java.nio.channels.spi.AbstractChannel No Yes No 
 java.nio.channels.spi.AbstractInterruptibleChannel No Yes No 
 java.nio.channels.spi.AbstractSelectableChannel No Yes No 
 java.nio.channels.spi.AbstractSelectionKey No Yes No 
 java.nio.channels.spi.AbstractSelector No Yes No 
 java.nio.channels.spi.SelectorProvider No Yes No 
 java.nio.channels.WritableByteChannel No Yes No 
 java.nio.CharBuffer No Yes No 
 java.nio.charset.CharacterCodingException No Yes No 
 java.nio.charset.CharsetDecoder No Yes No 
 java.nio.charset.CharsetEncoder No Yes No 
 java.nio.charset.Charset No Yes No 
 java.nio.charset.CoderResult No Yes No 
 java.nio.charset.CodingErrorAction No Yes No 
 java.nio.charset.spi.CharsetProvider No Yes No 
 java.nio.DoubleBuffer No Yes No 
 java.nio.FloatBuffer No Yes No 
 java.nio.IntBuffer No Yes No 
 java.nio.LongBuffer No Yes No 
 java.nio.MappedByteBuffer No Yes No 
 java.nio.ShortBuffer No Yes No 
 java.rmi.MarshalledObject Yes Yes Diff 
 java.rmi.server.LogStream Yes Yes Diff 
 java.rmi.server.RemoteObject Yes Yes Diff 
 java.rmi.server.RemoteServer Yes Yes Diff 
 java.rmi.server.RMIClassLoader Yes Yes Diff 
 java.rmi.server.UnicastRemoteObject Yes Yes Diff 
 java.sql.BatchUpdateException Yes Yes Diff 
 java.sql.DatabaseMetaData Yes Yes Diff 
 java.sql.DataTruncation Yes Yes Diff 
 java.sql.DriverManager Yes Yes Diff 
 java.sql.SQLException Yes Yes Diff 
 java.sql.SQLWarning Yes Yes Diff 
 java.sql.Types Yes Yes Diff 
 java.text.CollationElementIterator Yes Yes No 
 java.text.CollationKey Yes Yes No 
 java.text.Collator Yes Yes Diff 
 java.text.RuleBasedCollator Yes Yes No 
 java.util.BasicMapEntry Yes No Yes 
 java.util.logging.ConsoleHandler No Yes No 
 java.util.logging.ErrorManager No Yes No 
 java.util.logging.FileHandler No Yes No 
 java.util.logging.Filter No Yes No 
 java.util.logging.Formatter No Yes No 
 java.util.logging.Handler No Yes No 
 java.util.logging.Level No Yes No 
 java.util.logging.Logger No Yes No 
 java.util.logging.LoggingPermission No Yes No 
 java.util.logging.LogManager No Yes No 
 java.util.logging.LogRecord No Yes No 
 java.util.logging.MemoryHandler No Yes No 
 java.util.logging.SimpleFormatter No Yes No 
 java.util.logging.SocketHandler No Yes No 
 java.util.logging.StreamHandler No Yes No 
 java.util.logging.XMLFormatter No Yes No 
 java.util.prefs.AbstractPreferences No Yes No 
 java.util.prefs.BackingStoreException No Yes No 
 java.util.prefs.InvalidPreferencesFormatException No Yes No 
 java.util.prefs.NodeChangeEvent No Yes No 
 java.util.prefs.NodeChangeListener No Yes No 
 java.util.prefs.PreferenceChangeEvent No Yes No 
 java.util.prefs.PreferenceChangeListener No Yes No 
 java.util.prefs.PreferencesFactory No Yes No 
 java.util.prefs.Preferences No Yes No 
 java.util.regex.Matcher No Yes No 
 java.util.regex.Pattern No Yes No 
 java.util.regex.PatternSyntaxException No Yes No 
 java.util.zip.DeflaterConstants No Yes No 
 java.util.zip.DeflaterEngine No Yes No 
 java.util.zip.DeflaterHuffman No Yes No 
 java.util.zip.Deflater Yes Yes Diff 
 java.util.zip.DeflaterOutputStream Yes Yes Diff 
 java.util.zip.DeflaterPending No Yes No 
 java.util.zip.GZIPInputStream Yes Yes Diff 
 java.util.zip.GZIPOutputStream Yes Yes Diff 
 java.util.zip.InflaterDynHeader No Yes No 
 java.util.zip.InflaterHuffmanTree No Yes No 
 java.util.zip.InflaterInputStream Yes Yes Diff 
 java.util.zip.Inflater Yes Yes Diff 
 java.util.zip.OutputWindow No Yes No 
 java.util.zip.PendingBuffer No Yes No 
 java.util.zip.StreamManipulator No Yes No 
Please send FSF & GNU inquiries & questions to
gnu@gnu.org.
There are also other ways
to contact the FSF.
These pages are maintained by
The GCC team.
Please send comments on these web pages and GCC to
gcc@gnu.org or
gcc@gcc.gnu.org,
send other questions to gnu@gnu.org.
Copyright (C) Free Software Foundation, Inc.,
59 Temple Place - Suite 330, Boston, MA 02111, USA.
Verbatim copying and distribution of this entire article is
permitted in any medium, provided this notice is preserved.
 Last modified 2002-06-18
 
 
 
